Topic ID,Keywords,Assigned Topic
Topic 0,"just 0.9, people 0.83, going 0.82, really 0.74, think 0.72, know 0.7, get 0.63, things 0.61, see 0.59, actually 0.59, right 0.5, time 0.48, thing 0.47, little 0.46, make 0.46, ",
Topic 1,"women 2.46, men 1.0, girls 0.42, woman 0.38, sex 0.26, female 0.25, gender 0.24, pm 0.18, male 0.17, boys 0.14, violence 0.14, girl 0.14, sexual 0.14, equal 0.1, rights 0.09, ",gender
Topic 2,"brain 2.41, neurons 0.53, brains 0.32, activity 0.16, arm 0.15, mental 0.14, human 0.14, memory 0.13, body 0.13, electrical 0.12, consciousness 0.11, signals 0.11, behavior 0.11, visual 0.1, control 0.1, ",neuroscience
Topic 3,"percent 0.56, countries 0.49, people 0.48, dollars 0.46, world 0.42, money 0.41, india 0.37, growth 0.37, economic 0.36, billion 0.34, economy 0.34, business 0.34, country 0.3, market 0.3, global 0.3, ",global economy
Topic 4,"water 0.91, ocean 0.9, fish 0.67, sea 0.6, animals 0.47, species 0.38, ice 0.36, planet 0.34, earth 0.33, coral 0.32, oceans 0.29, surface 0.24, sharks 0.23, forest 0.2, deep 0.19, ",oceans
Topic 5,"cells 1.79, stem 0.68, cell 0.56, tissue 0.3, bone 0.26, body 0.24, organs 0.23, disease 0.18, drug 0.16, actually 0.14, lab 0.13, blood 0.12, heart 0.12, drugs 0.11, skin 0.1, ",biology
Topic 6,"universe 1.28, planets 0.49, stars 0.48, earth 0.46, space 0.42, galaxies 0.4, galaxy 0.39, light 0.34, telescope 0.33, planet 0.32, sun 0.28, dark 0.25, mars 0.24, solar 0.24, theory 0.22, ",cosmology
Topic 7,"kids 1.2, school 1.06, students 0.79, education 0.68, teachers 0.67, children 0.56, schools 0.38, teacher 0.36, learning 0.34, classroom 0.3, teach 0.28, teaching 0.28, class 0.22, learn 0.21, student 0.2, ",education
Topic 8,"robot 1.76, robots 1.12, legs 0.1, move 0.09, see 0.07, video 0.07, lab 0.07, build 0.06, control 0.05, animal 0.05, leg 0.05, machines 0.05, motion 0.05, foot 0.04, body 0.04, ",robotics
Topic 9,"music 2.16, sound 0.6, play 0.34, song 0.29, hear 0.28, playing 0.22, piece 0.19, sounds 0.17, listen 0.17, hearing 0.16, listening 0.15, played 0.14, noise 0.11, voice 0.1, video 0.1, ",music
Topic 10,"data 2.59, information 0.49, map 0.15, web 0.15, see 0.11, privacy 0.08, patterns 0.07, look 0.07, numbers 0.07, points 0.06, light 0.06, analysis 0.06, google 0.06, text 0.05, satellite 0.05, ",data science
Topic 11,"patients 0.96, health 0.76, patient 0.63, care 0.49, disease 0.47, medical 0.44, doctors 0.4, hiv 0.35, drugs 0.33, hospital 0.31, medicine 0.31, treatment 0.31, doctor 0.31, drug 0.29, surgery 0.28, ",health care
Topic 12,"democracy 0.56, war 0.55, people 0.48, political 0.45, government 0.44, power 0.33, world 0.31, country 0.31, violence 0.27, china 0.27, peace 0.26, rights 0.26, chinese 0.25, states 0.24, security 0.24, ",politics
Topic 13,"energy 1.27, oil 0.89, nuclear 0.37, coal 0.33, climate 0.33, carbon 0.32, solar 0.31, gas 0.29, fuel 0.28, power 0.27, electricity 0.25, water 0.24, wind 0.2, emissions 0.17, waste 0.14, ",energy
Topic 14,"game 1.24, games 1.15, play 0.85, video 0.46, playing 0.32, players 0.24, player 0.19, played 0.09, win 0.08, virtual 0.07, real 0.07, fun 0.06, physical 0.06, interaction 0.05, worlds 0.05, ",games
Topic 15,"city 1.6, cities 1.13, building 0.36, urban 0.3, new 0.28, space 0.28, buildings 0.28, york 0.26, spaces 0.25, map 0.24, public 0.21, street 0.2, neighborhood 0.2, park 0.2, people 0.19, ",cities
Topic 16,"dna 1.42, genome 0.59, genes 0.43, gene 0.39, species 0.33, genetic 0.32, cell 0.27, molecular 0.26, virus 0.23, code 0.22, sequence 0.2, microbes 0.16, biology 0.15, evolution 0.12, human 0.11, ",genetics
Topic 17,"food 1.68, plants 0.52, plant 0.47, eat 0.44, farmers 0.31, meat 0.29, feed 0.24, waste 0.22, eating 0.2, agriculture 0.17, farm 0.17, bread 0.17, organic 0.17, grow 0.11, fish 0.11, ",sustainability
Topic 18,"said 0.93, life 0.46, father 0.44, mother 0.41, family 0.41, children 0.4, man 0.38, know 0.36, story 0.36, love 0.33, day 0.33, went 0.31, child 0.3, people 0.29, home 0.29, ","families, stories"
Topic 19,"language 1.36, english 1.04, word 0.48, words 0.48, languages 0.32, chinese 0.19, speak 0.19, sentence 0.13, books 0.12, speech 0.12, writing 0.1, say 0.09, sound 0.09, read 0.08, autism 0.08, ",language and literature
Topic 20,"internet 0.8, computer 0.74, technology 0.65, information 0.64, digital 0.53, machine 0.46, web 0.44, computers 0.4, phone 0.37, online 0.35, video 0.34, media 0.3, mobile 0.28, software 0.27, machines 0.23, ",internet
Topic 21,"ca 1.98, yeah 0.24, mean 0.18, think 0.13, chris 0.13, anderson 0.11, mr 0.09, got 0.08, people 0.07, ted 0.05, ok 0.05, bg 0.04, source 0.03, wow 0.03, internet 0.03, ",TED
Topic 22,"cancer 2.05, tumor 0.51, breast 0.25, disease 0.2, body 0.18, protein 0.17, blood 0.16, drug 0.16, molecule 0.1, tissue 0.09, muscle 0.09, cure 0.08, surgery 0.07, gene 0.07, molecules 0.07, ",cancer
Topic 23,"bacteria 1.62, molecule 0.3, organisms 0.17, molecules 0.15, plastic 0.08, environment 0.07, evolution 0.06, water 0.06, species 0.06, program 0.05, genetic 0.05, drug 0.05, life 0.05, industry 0.05, clean 0.04, ",microscopic life
Topic 24,"bees 1.59, plant 0.08, insects 0.06, urban 0.05, researchers 0.03, nature 0.02, species 0.02, right 0.02, plants 0.02, science 0.02, agriculture 0.01, years 0.01, male 0.01, humans 0.01, dying 0.0, ",city-suburban
Topic 25,"design 1.84, building 0.53, designers 0.52, architecture 0.36, buildings 0.25, designed 0.24, designing 0.23, materials 0.23, designer 0.22, project 0.15, material 0.14, kind 0.13, process 0.13, products 0.13, product 0.12, ",design
Topic 26,"laughter 2.23, applause 0.33, okay 0.21, oh 0.13, yeah 0.12, right 0.09, mom 0.08, know 0.07, hear 0.06, mystery 0.06, piece 0.06, got 0.05, color 0.05, friends 0.04, just 0.04, ",
Topic 27,"compassion 1.64, god 0.32, religious 0.18, suffering 0.15, beings 0.1, happy 0.1, religion 0.09, world 0.09, human 0.09, love 0.08, empathy 0.07, rule 0.07, says 0.06, self 0.06, einstein 0.06, ",compassion
Topic 28,"africa 1.93, african 0.77, continent 0.37, hiv 0.3, south 0.24, countries 0.21, kenya 0.19, aid 0.16, leaders 0.15, aids 0.11, world 0.1, country 0.09, sub 0.08, corruption 0.08, sector 0.08, ",africa
Topic 29,"art 1.36, artist 0.57, artists 0.53, painting 0.44, museum 0.34, images 0.3, paint 0.23, project 0.23, work 0.22, image 0.21, book 0.18, space 0.17, wall 0.14, arts 0.13, light 0.11, ",arts