,Male Speakers,Female Speakers,
TED2002    ,23,5,0.178571428571429
TED2003    ,27,7,0.205882352941176
TED2004    ,24,7,0.225806451612903
TED2005    ,31,5,0.138888888888889
TED2006    ,33,10,0.232558139534884
TED2007    ,54,14,0.205882352941176
TED2008    ,41,15,0.267857142857143
TED2009    ,61,19,0.2375
TED2010    ,52,15,0.223880597014925
TED2011    ,55,15,0.214285714285714
TED2012    ,46,16,0.258064516129032
TED2013    ,56,19,0.253333333333333
TED2014    ,60,22,0.268292682926829
TED2015    ,47,26,0.356164383561644
TED2016    ,47,26,0.356164383561644
TED2017    ,54,36,0.4