speaker,man,man,man,woman,woman,woman,man_i-he,man_i-she,woman_i-he,woman_i-she
subject,he,i,she,he,i,she,,,,
verb,,,,,,,,,,
's,0.5497783418839671,3.5084135841988697,0.1525469957630008,0.0,1.8688720364439944,0.4128659699355516,2.9586352423149025,3.3558665884358687,1.8688720364439944,1.4560060665084427
absorb,0.0,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.1525469957630008,0.1525469957630008,0.1805923124338364,0.1805923124338364
abuse,0.0,0.3411682792858146,0.0,0.1805923124338364,0.0,0.0,0.3411682792858146,0.3411682792858146,-0.1805923124338364,0.0
accept,0.3411682792858146,1.518620431183389,0.1525469957630008,0.0,1.949087540228988,0.0,1.1774521518975745,1.3660734354203883,1.949087540228988,1.949087540228988
accompany,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.0,-0.1525469957630008,0.0,-0.1805923124338364,0.0
accomplish,0.1525469957630008,0.1525469957630008,0.1525469957630008,0.0,0.1805923124338364,0.0,0.0,0.0,0.1805923124338364,0.1805923124338364
accuse,0.1525469957630008,0.0,0.0,0.0,0.1805923124338364,0.0,-0.1525469957630008,0.0,0.1805923124338364,0.1805923124338364
achieve,0.0,0.3411682792858146,0.1525469957630008,0.0,0.4128659699355516,0.0,0.3411682792858146,0.18862128352281382,0.4128659699355516,0.4128659699355516
acknowledge,0.0,0.0,0.3050939915260017,0.0,0.1805923124338364,0.0,0.0,-0.3050939915260017,0.1805923124338364,0.1805923124338364
add,0.7330377891786228,7.602644452177645,0.0,0.0,2.669817194919992,0.0,6.869606662999022,7.602644452177645,2.669817194919992,2.669817194919992
admire,0.0,1.2131213683480724,0.0,0.0,0.6758702199940212,0.0,1.2131213683480724,1.2131213683480724,0.6758702199940212,0.6758702199940212
admit,0.0,0.7330377891786228,0.0,0.0,0.1805923124338364,0.0,0.7330377891786228,0.7330377891786228,0.1805923124338364,0.1805923124338364
adopt,0.0,0.5497783418839671,0.0,0.1805923124338364,0.1805923124338364,0.1805923124338364,0.5497783418839671,0.5497783418839671,0.0,0.0
adore,0.0,0.9672933864338102,0.0,0.0,0.4128659699355516,0.0,0.9672933864338102,0.9672933864338102,0.4128659699355516,0.4128659699355516
advise,0.0,0.1525469957630008,0.0,0.0,0.4128659699355516,0.0,0.1525469957630008,0.1525469957630008,0.4128659699355516,0.4128659699355516
afford,0.0,0.9672933864338102,0.0,0.1805923124338364,0.4128659699355516,0.0,0.9672933864338102,0.9672933864338102,0.2322736575017152,0.4128659699355516
aim,0.0,0.3411682792858146,0.0,0.0,0.0,0.1805923124338364,0.3411682792858146,0.3411682792858146,0.0,-0.1805923124338364
allow,0.1525469957630008,2.010761888009552,0.1525469957630008,0.0,0.9011602933253616,0.4128659699355516,1.8582148922465513,1.8582148922465513,0.9011602933253616,0.48829432338981005
animate,0.0,0.0,0.1525469957630008,0.0,0.1805923124338364,0.0,0.0,-0.1525469957630008,0.1805923124338364,0.1805923124338364
answer,0.7738347091470481,1.2595522811302278,0.3411682792858146,0.0,2.505969694580127,0.0,0.48571757198317966,0.9183840018444132,2.505969694580127,2.505969694580127
appear,0.0,0.1525469957630008,0.0,0.1805923124338364,0.1805923124338364,0.0,0.1525469957630008,0.1525469957630008,0.0,0.1805923124338364
apply,0.1525469957630008,1.518620431183389,0.0,0.1805923124338364,0.9636139595564917,0.1805923124338364,1.3660734354203883,1.518620431183389,0.7830216471226552,0.7830216471226552
appreciate,0.0,3.5084135841988697,0.0,0.1805923124338364,1.5275352143640737,0.0,3.5084135841988697,3.5084135841988697,1.3469429019302372,1.5275352143640737
approach,0.3411682792858146,2.5865483784154306,0.1525469957630008,0.0,0.6758702199940212,0.0,2.245380099129616,2.43400138265243,0.6758702199940212,0.6758702199940212
argue,0.0,1.787343900452935,0.0,0.0,0.4128659699355516,0.0,1.787343900452935,1.787343900452935,0.4128659699355516,0.4128659699355516
arrest,0.1525469957630008,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.0,0.1525469957630008,0.1805923124338364,0.1805923124338364
assemble,0.1525469957630008,0.3411682792858146,0.3411682792858146,0.0,0.4128659699355516,0.0,0.18862128352281382,0.0,0.4128659699355516,0.4128659699355516
assign,0.0,0.3411682792858146,0.0,0.0,1.126450366656702,0.1805923124338364,0.3411682792858146,0.3411682792858146,1.126450366656702,0.9458580542228656
assume,0.1525469957630008,0.1525469957630008,0.0,0.1805923124338364,0.0,0.0,0.0,0.1525469957630008,-0.1805923124338364,0.0
assure,0.1525469957630008,1.0109344736233936,0.0,0.0,1.949087540228988,0.0,0.8583874778603928,1.0109344736233936,1.949087540228988,1.949087540228988
attach,0.0,0.3050939915260017,0.0,0.1805923124338364,0.0,0.0,0.3050939915260017,0.3050939915260017,-0.1805923124338364,0.0
attempt,0.0,1.2131213683480724,0.0,0.1805923124338364,0.1805923124338364,0.1805923124338364,1.2131213683480724,1.2131213683480724,0.0,0.0
attend,0.1525469957630008,0.5497783418839671,0.0,0.0,0.1805923124338364,0.0,0.39723134612096633,0.5497783418839671,0.1805923124338364,0.1805923124338364
avoid,0.1525469957630008,0.5497783418839671,0.0,0.0,0.1805923124338364,0.0,0.39723134612096633,0.5497783418839671,0.1805923124338364,0.1805923124338364
be,0.7738347091470481,5.815695761586005,0.3411682792858146,0.0,2.694522287037826,0.1805923124338364,5.041861052438957,5.47452748230019,2.694522287037826,2.5139299746039896
bear,0.1525469957630008,0.5497783418839671,0.3411682792858146,0.0,0.6758702199940212,0.1805923124338364,0.39723134612096633,0.2086100625981525,0.6758702199940212,0.4952779075601848
beat,0.7738347091470481,0.7738347091470481,0.0,0.1805923124338364,0.4128659699355516,0.1805923124338364,0.0,0.7738347091470481,0.2322736575017152,0.2322736575017152
become,1.2595522811302278,5.287133417501712,0.3411682792858146,0.1805923124338364,0.6758702199940212,0.4128659699355516,4.027581136371484,4.945965138215898,0.4952779075601848,0.2630042500584696
begin,2.645845231546194,28.444814686695093,0.7738347091470481,0.0,18.2572569517208,1.126450366656702,25.7989694551489,27.670979977548043,18.2572569517208,17.1308065850641
believe,1.0109344736233936,24.59015878957101,0.0,0.4128659699355516,8.135730844425167,0.1805923124338364,23.579224315947616,24.59015878957101,7.722864874489615,7.955138531991331
belong,0.0,0.3411682792858146,0.0,0.0,0.0,0.4128659699355516,0.3411682792858146,0.3411682792858146,0.0,-0.4128659699355516
bend,0.0,0.1525469957630008,0.0,0.0,0.1805923124338364,0.1805923124338364,0.1525469957630008,0.1525469957630008,0.1805923124338364,0.0
bet,0.0,1.2595522811302278,0.0,0.0,0.1805923124338364,0.0,1.2595522811302278,1.2595522811302278,0.1805923124338364,0.1805923124338364
bid,0.0,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.1525469957630008,0.1525469957630008,0.1805923124338364,0.1805923124338364
bind,0.1525469957630008,0.0,0.0,0.0,0.5417769373015092,0.0,-0.1525469957630008,0.0,0.5417769373015092,0.5417769373015092
blame,0.1525469957630008,0.5497783418839671,0.1525469957630008,0.0,2.29130282154611,0.0,0.39723134612096633,0.39723134612096633,2.29130282154611,2.29130282154611
block,0.0,0.3411682792858146,0.0,0.0,0.1805923124338364,0.0,0.3411682792858146,0.3411682792858146,0.1805923124338364,0.1805923124338364
blow,0.0,2.5865483784154306,0.7330377891786228,0.4128659699355516,1.782124416758086,0.0,2.5865483784154306,1.8535105892368078,1.3692584468225344,1.782124416758086
book,0.0,0.0,0.3411682792858146,0.0,0.1805923124338364,0.0,0.0,-0.3411682792858146,0.1805923124338364,0.1805923124338364
borrow,0.0,0.5497783418839671,0.0,0.0,0.1805923124338364,0.0,0.5497783418839671,0.5497783418839671,0.1805923124338364,0.1805923124338364
break,1.0109344736233936,1.2595522811302278,0.1525469957630008,0.1805923124338364,0.9636139595564917,0.1805923124338364,0.24861780750683415,1.107005285367227,0.7830216471226552,0.7830216471226552
breathe,0.0,0.5497783418839671,0.1525469957630008,0.1805923124338364,0.1805923124338364,0.0,0.5497783418839671,0.39723134612096633,0.0,0.1805923124338364
bring,5.287133417501712,21.070458470102395,2.3091791820720844,0.9636139595564917,13.162295278957613,2.402835475427993,15.783325052600683,18.76127928803031,12.198681319401121,10.75945980352962
brush,0.0,0.1525469957630008,0.0,0.0,0.1805923124338364,0.6192989549033274,0.1525469957630008,0.1525469957630008,0.1805923124338364,-0.43870664246949104
build,4.418675548028527,23.104720719156003,0.9672933864338102,0.6758702199940212,1.126450366656702,0.1805923124338364,18.686045171127475,22.137427332722194,0.45058014666268087,0.9458580542228656
burn,0.0,0.5497783418839671,0.0,0.1805923124338364,0.1805923124338364,0.0,0.5497783418839671,0.5497783418839671,0.0,0.1805923124338364
bury,0.0,0.1525469957630008,0.0,0.3611846248676728,0.0,0.0,0.1525469957630008,0.1525469957630008,-0.3611846248676728,0.0
bust,0.0,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.1525469957630008,0.1525469957630008,0.1805923124338364,0.1805923124338364
buy,0.5497783418839671,18.80975241572938,0.1525469957630008,0.1805923124338364,3.181128182315878,0.6758702199940212,18.259974073845413,18.65720541996638,3.0005358698820417,2.505257962321857
calculate,0.3411682792858146,0.0,0.0,0.0,0.1805923124338364,0.0,-0.3411682792858146,0.0,0.1805923124338364,0.1805923124338364
cancel,0.0,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.1525469957630008,0.1525469957630008,0.1805923124338364,0.1805923124338364
capture,0.1525469957630008,1.1607520637205722,0.0,0.0,0.1805923124338364,0.0,1.0082050679575714,1.1607520637205722,0.1805923124338364,0.1805923124338364
care,0.5117524189287219,0.7738347091470481,0.1525469957630008,0.0,0.4128659699355516,0.0,0.2620822902183262,0.6212877133840473,0.4128659699355516,0.4128659699355516
carry,0.7330377891786228,2.3514076167413007,0.0,0.6758702199940212,1.782124416758086,0.3611846248676728,1.6183698275626779,2.3514076167413007,1.106254196764065,1.4209397918904134
carve,0.0,0.1525469957630008,0.0,0.0,0.4128659699355516,0.0,0.1525469957630008,0.1525469957630008,0.4128659699355516,0.4128659699355516
catch,0.3411682792858146,3.056829901763691,0.3411682792858146,0.1805923124338364,0.4128659699355516,0.6192989549033274,2.7156616224778762,2.7156616224778762,0.2322736575017152,-0.20643298496777585
challenge,0.1525469957630008,1.518620431183389,0.3411682792858146,0.1805923124338364,0.1805923124338364,0.0,1.3660734354203883,1.1774521518975745,0.0,0.1805923124338364
change,1.518620431183389,8.290638859005186,0.1525469957630008,0.9011602933253616,2.891934711196253,0.9636139595564917,6.772018427821798,8.138091863242186,1.9907744178708913,1.9283207516397614
channel,0.1525469957630008,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.0,0.1525469957630008,0.1805923124338364,0.1805923124338364
chase,0.0,0.3411682792858146,0.1525469957630008,0.1805923124338364,0.3611846248676728,0.4128659699355516,0.3411682792858146,0.18862128352281382,0.1805923124338364,-0.0516813450678788
check,0.3411682792858146,1.7355662070667304,0.0,0.0,0.6758702199940212,0.0,1.3943979277809158,1.7355662070667304,0.6758702199940212,0.6758702199940212
choose,0.1525469957630008,10.978459735013104,0.0,0.6758702199940212,5.241729536740589,0.4128659699355516,10.825912739250104,10.978459735013104,4.565859316746568,4.828863566805038
clear,0.0,0.0,0.3411682792858146,0.0,0.1805923124338364,0.0,0.0,-0.3411682792858146,0.1805923124338364,0.1805923124338364
climb,0.3411682792858146,1.0109344736233936,0.0,0.0,0.1805923124338364,0.0,0.669766194337579,1.0109344736233936,0.1805923124338364,0.1805923124338364
close,0.5117524189287219,3.5084135841988697,0.0,0.0,0.4128659699355516,0.0,2.996661165270148,3.5084135841988697,0.4128659699355516,0.4128659699355516
coach,0.0,0.1525469957630008,0.0,0.3611846248676728,0.6758702199940212,0.0,0.1525469957630008,0.1525469957630008,0.3146855951263484,0.6758702199940212
coin,0.0,0.3050939915260017,0.0,0.0,0.1805923124338364,0.0,0.3050939915260017,0.3050939915260017,0.1805923124338364,0.1805923124338364
collect,0.1525469957630008,1.952511982950072,0.1525469957630008,0.0,0.1805923124338364,0.4128659699355516,1.799964987187071,1.799964987187071,0.1805923124338364,-0.2322736575017152
color,0.0,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.1525469957630008,0.1525469957630008,0.1805923124338364,0.1805923124338364
combine,0.1525469957630008,0.5497783418839671,0.0,0.0,0.1805923124338364,0.0,0.39723134612096633,0.5497783418839671,0.1805923124338364,0.1805923124338364
come,6.461355470472123,18.70382153455486,1.2131213683480724,0.0,8.311413525571364,0.9636139595564917,12.242466064082736,17.490700166206786,8.311413525571364,7.3477995660148725
commission,0.0,0.1525469957630008,0.0,0.0,0.6758702199940212,0.0,0.1525469957630008,0.1525469957630008,0.6758702199940212,0.6758702199940212
commit,0.1525469957630008,0.0,0.0,0.0,0.1805923124338364,0.0,-0.1525469957630008,0.0,0.1805923124338364,0.1805923124338364
communicate,0.0,0.1525469957630008,0.0,0.0,0.1805923124338364,0.1805923124338364,0.1525469957630008,0.1525469957630008,0.1805923124338364,0.0
compare,0.0,0.3411682792858146,0.0,0.1805923124338364,0.9636139595564917,0.3611846248676728,0.3411682792858146,0.3411682792858146,0.7830216471226552,0.6024293346888189
complete,0.1525469957630008,0.5497783418839671,0.1525469957630008,0.0,0.1805923124338364,0.0,0.39723134612096633,0.39723134612096633,0.1805923124338364,0.1805923124338364
compose,0.1525469957630008,0.0,0.0,0.0,0.1805923124338364,0.0,-0.1525469957630008,0.0,0.1805923124338364,0.1805923124338364
concentrate,0.0,0.1525469957630008,0.0,0.0,0.0,0.1805923124338364,0.1525469957630008,0.1525469957630008,0.0,-0.1805923124338364
conduct,0.0,0.5497783418839671,0.0,0.1805923124338364,0.0,0.0,0.5497783418839671,0.5497783418839671,-0.1805923124338364,0.0
confront,0.0,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.1525469957630008,0.1525469957630008,0.1805923124338364,0.1805923124338364
connect,0.0,0.7738347091470481,0.0,0.1805923124338364,0.6758702199940212,0.0,0.7738347091470481,0.7738347091470481,0.4952779075601848,0.6758702199940212
consider,0.0,4.494063404876455,0.0,0.0,0.6758702199940212,0.1805923124338364,4.494063404876455,4.494063404876455,0.6758702199940212,0.4952779075601848
contact,0.0,0.3411682792858146,0.1525469957630008,0.0,0.4128659699355516,0.0,0.3411682792858146,0.18862128352281382,0.4128659699355516,0.4128659699355516
contain,0.0,0.1525469957630008,0.1525469957630008,0.0,0.1805923124338364,0.0,0.1525469957630008,0.0,0.1805923124338364,0.1805923124338364
continue,0.1525469957630008,1.518620431183389,0.0,0.0,1.6018903169519951,0.0,1.3660734354203883,1.518620431183389,1.6018903169519951,1.6018903169519951
control,0.3050939915260017,0.7738347091470481,0.0,0.0,0.6192989549033274,0.0,0.4687407176210464,0.7738347091470481,0.6192989549033274,0.6192989549033274
convince,0.1525469957630008,1.787343900452935,0.0,0.0,1.2729460119700613,0.1805923124338364,1.6347969046899342,1.787343900452935,1.2729460119700613,1.0923536995362249
cook,0.1525469957630008,1.0109344736233936,0.3050939915260017,0.0,0.0,0.1805923124338364,0.8583874778603928,0.7058404820973919,0.0,-0.1805923124338364
copy,0.0,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.1525469957630008,0.1525469957630008,0.1805923124338364,0.1805923124338364
count,0.1525469957630008,1.0109344736233936,0.0,0.0,0.6758702199940212,0.0,0.8583874778603928,1.0109344736233936,0.6758702199940212,0.6758702199940212
cover,0.9672933864338102,3.57468780090587,0.0,0.0,0.1805923124338364,0.3611846248676728,2.6073944144720596,3.57468780090587,0.1805923124338364,-0.1805923124338364
crack,0.0,0.3411682792858146,0.0,0.0,0.4128659699355516,0.0,0.3411682792858146,0.3411682792858146,0.4128659699355516,0.4128659699355516
create,1.7355662070667304,11.04457089233387,0.3411682792858146,0.9636139595564917,7.775818718603928,0.9011602933253616,9.309004685267139,10.703402613048056,6.812204759047436,6.874658425278566
cross,0.1525469957630008,0.1525469957630008,0.0,0.0,0.9636139595564917,0.0,0.0,0.1525469957630008,0.9636139595564917,0.9636139595564917
cut,0.1525469957630008,4.596175474868304,0.1525469957630008,0.1805923124338364,0.9636139595564917,0.1805923124338364,4.443628479105303,4.443628479105303,0.7830216471226552,0.7830216471226552
dare,0.0,0.3411682792858146,0.0,0.0,0.1805923124338364,0.0,0.3411682792858146,0.3411682792858146,0.1805923124338364,0.1805923124338364
date,0.1525469957630008,0.5117524189287219,0.0,0.0,0.1805923124338364,0.1805923124338364,0.3592054231657211,0.5117524189287219,0.1805923124338364,0.0
deal,0.1525469957630008,0.7738347091470481,0.0,0.0,0.1805923124338364,0.0,0.6212877133840473,0.7738347091470481,0.1805923124338364,0.1805923124338364
deceive,0.0,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.1525469957630008,0.1525469957630008,0.1805923124338364,0.1805923124338364
decide,2.2945608986646646,46.47278741705113,0.5497783418839671,0.4128659699355516,19.393589870253265,0.4128659699355516,44.17822651838647,45.923009075167165,18.980723900317713,18.980723900317713
declare,0.0,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.1525469957630008,0.1525469957630008,0.1805923124338364,0.1805923124338364
dedicate,0.1525469957630008,0.3411682792858146,0.0,0.1805923124338364,0.1805923124338364,0.0,0.18862128352281382,0.3411682792858146,0.0,0.1805923124338364
define,0.0,0.7738347091470481,0.0,0.0,0.6758702199940212,0.0,0.7738347091470481,0.7738347091470481,0.6758702199940212,0.6758702199940212
deliver,0.3411682792858146,0.7738347091470481,0.0,0.1805923124338364,0.1805923124338364,0.0,0.4326664298612335,0.7738347091470481,0.0,0.1805923124338364
deny,0.0,0.3411682792858146,0.0,0.1805923124338364,0.4128659699355516,0.0,0.3411682792858146,0.3411682792858146,0.2322736575017152,0.4128659699355516
describe,1.6794030415069705,6.179235084545782,0.3411682792858146,0.1805923124338364,2.402835475427993,0.0,4.499832043038811,5.838066805259968,2.2222431629941566,2.402835475427993
design,2.169457758833413,7.120814247135893,0.1525469957630008,0.1805923124338364,2.602741240076628,0.0,4.95135648830248,6.968267251372892,2.4221489276427914,2.602741240076628
desire,0.0,0.3411682792858146,0.0,0.0,0.1805923124338364,0.0,0.3411682792858146,0.3411682792858146,0.1805923124338364,0.1805923124338364
determine,0.0,0.1525469957630008,0.0,0.0,0.4128659699355516,0.0,0.1525469957630008,0.1525469957630008,0.4128659699355516,0.4128659699355516
develop,1.7355662070667304,6.9852222694865365,0.0,0.9636139595564917,1.2729460119700613,0.0,5.249656062419806,6.9852222694865365,0.30933205241356965,1.2729460119700613
devise,0.1525469957630008,0.1525469957630008,0.0,0.1805923124338364,0.1805923124338364,0.0,0.0,0.1525469957630008,0.0,0.1805923124338364
devote,0.0,0.3411682792858146,0.0,0.0,0.9636139595564917,0.0,0.3411682792858146,0.3411682792858146,0.9636139595564917,0.9636139595564917
dial,0.0,0.6101879830520034,0.0,0.0,0.3611846248676728,0.0,0.6101879830520034,0.6101879830520034,0.3611846248676728,0.3611846248676728
die,1.0109344736233936,0.5497783418839671,0.0,0.3611846248676728,0.1805923124338364,0.4128659699355516,-0.4611561317394265,0.5497783418839671,-0.1805923124338364,-0.2322736575017152
dig,0.5117524189287219,1.2595522811302278,0.0,0.0,0.1805923124338364,0.4128659699355516,0.7477998622015058,1.2595522811302278,0.1805923124338364,-0.2322736575017152
discount,0.0,0.3411682792858146,0.0,0.0,0.6192989549033274,0.0,0.3411682792858146,0.3411682792858146,0.6192989549033274,0.6192989549033274
discourage,0.1525469957630008,0.0,0.0,0.0,0.1805923124338364,0.0,-0.1525469957630008,0.0,0.1805923124338364,0.1805923124338364
discover,0.3411682792858146,3.759014554498789,0.1525469957630008,0.1805923124338364,7.068926107821753,0.0,3.4178462752129746,3.6064675587357886,6.888333795387917,7.068926107821753
discuss,0.0,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.1525469957630008,0.1525469957630008,0.1805923124338364,0.1805923124338364
dislike,0.0,0.1525469957630008,0.0,0.1805923124338364,0.0,0.0,0.1525469957630008,0.1525469957630008,-0.1805923124338364,0.0
distribute,0.0,0.1525469957630008,0.0,0.0,0.0,0.1805923124338364,0.1525469957630008,0.1525469957630008,0.0,-0.1805923124338364
divide,0.1525469957630008,0.5497783418839671,0.0,0.0,0.6758702199940212,0.0,0.39723134612096633,0.5497783418839671,0.6758702199940212,0.6758702199940212
document,0.1525469957630008,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.0,0.1525469957630008,0.1805923124338364,0.1805923124338364
domesticate,0.0,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.1525469957630008,0.1525469957630008,0.1805923124338364,0.1805923124338364
doubt,0.1525469957630008,0.5497783418839671,0.0,0.0,0.4128659699355516,0.0,0.39723134612096633,0.5497783418839671,0.4128659699355516,0.4128659699355516
download,0.1525469957630008,0.9672933864338102,0.0,0.1805923124338364,0.0,0.0,0.8147463906708095,0.9672933864338102,-0.1805923124338364,0.0
drag,0.1525469957630008,0.7330377891786228,0.0,0.0,0.1805923124338364,0.0,0.580490793415622,0.7330377891786228,0.1805923124338364,0.1805923124338364
draw,1.4694776613185991,5.899498473039764,0.0,0.1805923124338364,1.782124416758086,0.1805923124338364,4.430020811721165,5.899498473039764,1.6015321043242496,1.6015321043242496
dream,0.1525469957630008,0.5497783418839671,0.0,0.1805923124338364,0.6758702199940212,0.0,0.39723134612096633,0.5497783418839671,0.4952779075601848,0.6758702199940212
drink,0.5117524189287219,0.5117524189287219,0.0,0.4128659699355516,0.0,0.0,0.0,0.5117524189287219,-0.4128659699355516,0.0
drive,0.7738347091470481,5.815695761586005,0.0,0.1805923124338364,1.4454209393347373,0.1805923124338364,5.041861052438957,5.815695761586005,1.2648286269009008,1.2648286269009008
drop,0.1525469957630008,1.61749515779743,0.5117524189287219,0.1805923124338364,0.6758702199940212,0.1805923124338364,1.4649481620344291,1.105742738868708,0.4952779075601848,0.4952779075601848
dump,0.0,0.0,0.1525469957630008,0.0,0.4128659699355516,0.0,0.0,-0.1525469957630008,0.4128659699355516,0.4128659699355516
earn,0.1525469957630008,0.7738347091470481,0.0,0.3611846248676728,0.4128659699355516,0.0,0.6212877133840473,0.7738347091470481,0.0516813450678788,0.4128659699355516
eat,0.7738347091470481,3.1937498868774075,1.0995566837679345,0.0,0.9636139595564917,0.1805923124338364,2.4199151777303594,2.094193203109473,0.9636139595564917,0.7830216471226552
elect,0.1525469957630008,0.0,0.0,0.1805923124338364,0.1805923124338364,0.0,-0.1525469957630008,0.0,0.0,0.1805923124338364
email,0.1525469957630008,0.9162972364732784,0.0,0.0,0.6192989549033274,0.0,0.7637502407102776,0.9162972364732784,0.6192989549033274,0.6192989549033274
embrace,0.0,0.7330377891786228,0.0,0.0,0.1805923124338364,0.0,0.7330377891786228,0.7330377891786228,0.1805923124338364,0.1805923124338364
emphasize,0.3411682792858146,0.0,0.0,0.0,0.1805923124338364,0.0,-0.3411682792858146,0.0,0.1805923124338364,0.1805923124338364
encounter,0.0,0.3411682792858146,0.0,0.0,1.6018903169519951,0.0,0.3411682792858146,0.3411682792858146,1.6018903169519951,1.6018903169519951
encourage,0.1525469957630008,5.10686163874256,0.0,0.0,0.6758702199940212,0.1805923124338364,4.954314642979559,5.10686163874256,0.6758702199940212,0.4952779075601848
end,0.7738347091470481,9.723778622440175,0.0,0.4128659699355516,1.949087540228988,0.1805923124338364,8.949943913293128,9.723778622440175,1.5362215702934363,1.7684952277951516
engage,0.0,0.1525469957630008,0.0,0.0,0.4128659699355516,0.0,0.1525469957630008,0.1525469957630008,0.4128659699355516,0.4128659699355516
engineer,0.0,0.1525469957630008,0.0,0.1805923124338364,0.1805923124338364,0.1805923124338364,0.1525469957630008,0.1525469957630008,0.0,0.0
enjoy,0.1525469957630008,4.229706734001369,0.0,0.0,2.3135477689570023,0.0,4.077159738238368,4.229706734001369,2.3135477689570023,2.3135477689570023
enter,0.7738347091470481,1.0109344736233936,0.5117524189287219,0.0,0.6758702199940212,0.0,0.2370997644763455,0.4991820546946717,0.6758702199940212,0.6758702199940212
entertain,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.0,-0.1525469957630008,0.0,-0.1805923124338364,0.0
entrance,0.0,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.1525469957630008,0.1525469957630008,0.1805923124338364,0.1805923124338364
envision,0.1525469957630008,0.3411682792858146,0.0,0.0,0.1805923124338364,0.0,0.18862128352281382,0.3411682792858146,0.1805923124338364,0.1805923124338364
escape,0.5497783418839671,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,-0.39723134612096633,0.1525469957630008,0.1805923124338364,0.1805923124338364
examine,0.0,0.1525469957630008,0.0,0.0,0.4128659699355516,0.0,0.1525469957630008,0.1525469957630008,0.4128659699355516,0.4128659699355516
expect,0.3411682792858146,8.082407211427594,0.1525469957630008,0.4128659699355516,1.5275352143640737,0.0,7.741238932141779,7.9298602156645925,1.114669244428522,1.5275352143640737
