ID,Keywords,Assignment
Topic 0,"just 0.9, going 0.82, really 0.77, people 0.71, think 0.71, know 0.7, get 0.63, actually 0.62, things 0.62, see 0.59, right 0.51, little 0.48, time 0.48, thing 0.47, go 0.46, ",
Topic 1,"cells 1.81, stem 0.69, cell 0.55, tissue 0.28, bone 0.26, organs 0.23, disease 0.19, drug 0.18, actually 0.13, lab 0.12, drugs 0.12, heart 0.11, patient 0.1, blood 0.1, patients 0.09, ",medical
Topic 2,"energy 1.24, oil 0.87, climate 0.4, carbon 0.36, nuclear 0.35, coal 0.34, gas 0.29, solar 0.27, fuel 0.26, electricity 0.24, emissions 0.2, power 0.2, wind 0.2, percent 0.17, billion 0.16, ","climate, energy"
Topic 3,"women 2.5, men 1.01, woman 0.39, sex 0.26, female 0.26, gender 0.24, pm 0.19, male 0.17, violence 0.14, sexual 0.14, equal 0.1, girls 0.1, rights 0.09, boys 0.09, media 0.08, ",gender
Topic 4,"data 2.62, information 0.43, map 0.15, web 0.14, see 0.08, patterns 0.07, numbers 0.07, points 0.06, look 0.06, privacy 0.06, text 0.06, analysis 0.06, computer 0.05, satellite 0.05, collect 0.05, ",data science
Topic 5,"design 1.9, designers 0.55, building 0.47, architecture 0.32, designed 0.24, designing 0.24, designer 0.23, buildings 0.2, materials 0.2, project 0.14, product 0.13, products 0.13, process 0.12, technology 0.12, new 0.12, ",design
Topic 6,"cancer 2.05, tumor 0.5, breast 0.25, disease 0.24, drug 0.19, protein 0.17, blood 0.16, molecule 0.1, body 0.1, cure 0.09, tissue 0.08, treatment 0.08, muscle 0.08, molecules 0.07, drugs 0.07, ",cancer
Topic 7,"brain 2.42, neurons 0.54, brains 0.33, activity 0.16, mental 0.15, arm 0.15, human 0.13, memory 0.13, electrical 0.12, consciousness 0.11, behavior 0.11, signals 0.1, control 0.1, visual 0.1, mind 0.1, ",neuroscience
Topic 8,"music 2.29, play 0.28, playing 0.23, song 0.22, piece 0.2, hear 0.18, played 0.13, listen 0.1, da 0.1, hearing 0.09, hall 0.08, sound 0.07, experience 0.07, dance 0.05, yeah 0.05, ",music
Topic 9,"robot 1.77, robots 1.13, move 0.09, legs 0.09, see 0.07, lab 0.07, build 0.06, control 0.05, animal 0.05, leg 0.05, motion 0.04, foot 0.04, machines 0.04, small 0.04, intelligence 0.04, ",robotics
Topic 10,"kids 1.19, school 1.04, students 0.74, children 0.71, education 0.67, teachers 0.65, schools 0.39, teacher 0.34, learning 0.33, classroom 0.28, teach 0.28, teaching 0.27, child 0.26, parents 0.22, class 0.21, ",education
Topic 11,"dna 1.32, genome 0.57, bacteria 0.51, genes 0.44, species 0.4, gene 0.38, genetic 0.34, cell 0.28, molecular 0.25, code 0.22, virus 0.21, sequence 0.19, biology 0.17, organisms 0.17, evolution 0.16, ",genetics
Topic 12,"patients 1.04, health 0.78, patient 0.71, care 0.53, medical 0.48, doctors 0.43, hospital 0.35, surgery 0.35, doctor 0.34, medicine 0.33, disease 0.32, healthcare 0.29, heart 0.28, treatment 0.23, clinical 0.16, ",health care
Topic 13,"city 1.62, cities 1.1, building 0.41, buildings 0.32, space 0.31, urban 0.29, new 0.28, york 0.26, spaces 0.26, map 0.24, public 0.22, architecture 0.2, park 0.2, neighborhood 0.2, street 0.2, ",cities
Topic 14,"machine 1.77, computer 0.74, machines 0.54, computers 0.38, human 0.13, learning 0.13, intelligence 0.1, memory 0.1, built 0.1, technology 0.09, build 0.08, web 0.08, dna 0.06, mathematical 0.06, running 0.05, ",artificial intelligence
Topic 15,"girls 1.81, girl 0.67, boys 0.31, school 0.24, father 0.08, wish 0.08, afghanistan 0.08, dance 0.07, village 0.06, daughter 0.06, boy 0.06, sister 0.05, community 0.04, marriage 0.04, research 0.04, ",girls
Topic 16,"ocean 1.07, fish 0.9, sea 0.64, animals 0.56, coral 0.39, species 0.37, oceans 0.35, sharks 0.31, animal 0.21, deep 0.2, ice 0.18, planet 0.18, food 0.15, land 0.14, water 0.14, ",oceans
Topic 17,"universe 1.56, galaxies 0.48, galaxy 0.45, space 0.32, stars 0.31, dark 0.26, theory 0.25, physics 0.23, telescope 0.22, gravity 0.18, particles 0.17, billion 0.16, black 0.15, energy 0.15, sky 0.14, ",cosmology
Topic 18,"language 1.37, english 1.04, word 0.49, words 0.49, languages 0.32, speak 0.18, sentence 0.13, books 0.12, speech 0.12, writing 0.1, say 0.1, read 0.08, autism 0.08, learn 0.07, learning 0.07, ",language and literature
Topic 19,"compassion 1.64, god 0.31, religious 0.18, suffering 0.14, beings 0.1, happy 0.1, religion 0.09, human 0.09, world 0.08, love 0.08, rule 0.07, empathy 0.07, self 0.06, says 0.06, einstein 0.06, ",compassion
Topic 20,"mars 0.89, earth 0.86, planet 0.75, planets 0.64, solar 0.37, life 0.31, ice 0.31, stars 0.31, surface 0.28, sun 0.27, atmosphere 0.26, star 0.22, space 0.2, moon 0.19, telescope 0.19, ",planets
Topic 21,"plastic 1.47, bottle 0.27, ocean 0.17, waste 0.15, materials 0.13, bacteria 0.12, beach 0.11, material 0.09, steel 0.09, stuff 0.07, make 0.07, products 0.06, bits 0.06, island 0.05, mine 0.04, ",waste
Topic 22,"video 1.84, youtube 0.31, videos 0.29, content 0.26, games 0.22, camera 0.2, motion 0.16, objects 0.12, rights 0.1, cameras 0.09, show 0.08, virtual 0.07, see 0.07, bridge 0.07, object 0.07, ",videos
Topic 23,"ca 1.98, yeah 0.24, mean 0.18, think 0.13, chris 0.13, anderson 0.11, mr 0.09, got 0.08, people 0.07, ted 0.06, ok 0.05, bg 0.04, wow 0.03, source 0.03, report 0.03, ",TED
Topic 24,"game 1.24, play 1.08, games 1.03, playing 0.34, players 0.25, player 0.2, played 0.11, win 0.1, fun 0.07, social 0.06, physical 0.05, real 0.05, world 0.05, serious 0.05, worlds 0.04, ",games
Topic 25,"africa 1.92, african 0.77, continent 0.37, south 0.23, countries 0.2, aid 0.19, kenya 0.19, leaders 0.13, farmers 0.1, sector 0.1, world 0.09, corruption 0.08, country 0.08, asia 0.07, sub 0.07, ",africa
Topic 26,"quantum 1.26, particles 0.36, field 0.21, metal 0.12, inside 0.11, theory 0.1, physics 0.09, energy 0.06, state 0.04, phenomenon 0.04, zero 0.04, single 0.03, place 0.03, object 0.03, weird 0.03, ",phyics
Topic 27,"laughter 2.23, applause 0.33, okay 0.21, oh 0.12, yeah 0.12, mom 0.08, right 0.08, know 0.07, piece 0.06, mystery 0.06, hear 0.05, color 0.05, got 0.05, friends 0.05, just 0.03, ",
Topic 28,"light 1.83, see 0.4, lights 0.32, blue 0.2, eye 0.19, dark 0.18, eyes 0.18, camera 0.17, sun 0.17, color 0.14, stars 0.14, star 0.11, green 0.1, image 0.1, create 0.09, ",optics
Topic 29,"bees 1.58, plant 0.17, plants 0.1, insects 0.1, food 0.05, urban 0.05, species 0.04, nature 0.03, researchers 0.02, agriculture 0.02, right 0.02, sex 0.01, male 0.01, science 0.01, garden 0.01, ",ecology
Topic 30,"chinese 1.26, china 1.2, india 0.57, indian 0.27, west 0.16, world 0.14, north 0.12, countries 0.11, asia 0.11, growth 0.11, political 0.11, democracy 0.1, east 0.09, state 0.09, united 0.08, ",china-india
Topic 31,"said 0.91, life 0.47, father 0.4, know 0.39, people 0.39, man 0.38, mother 0.38, story 0.38, family 0.37, love 0.34, day 0.33, went 0.32, children 0.3, told 0.29, stories 0.28, ","families, stories"
Topic 32,"water 2.34, river 0.25, food 0.24, plant 0.23, waste 0.22, plants 0.18, desert 0.13, bacteria 0.12, dry 0.11, organisms 0.11, india 0.1, rain 0.09, supply 0.08, farmers 0.08, air 0.08, ",water
Topic 33,"internet 1.06, information 0.79, online 0.47, media 0.45, digital 0.45, web 0.44, phone 0.41, technology 0.4, mobile 0.31, twitter 0.27, page 0.26, government 0.25, facebook 0.23, network 0.22, computer 0.21, ",internet
Topic 34,"car 1.47, cars 1.0, driving 0.34, driver 0.3, road 0.26, vehicle 0.24, drive 0.22, miles 0.19, traffic 0.15, cities 0.13, going 0.11, sharing 0.1, mile 0.09, electric 0.09, hour 0.09, ",cars
Topic 35,"art 1.38, artist 0.58, artists 0.54, painting 0.44, museum 0.34, images 0.28, project 0.23, paint 0.23, work 0.22, image 0.18, book 0.18, space 0.18, arts 0.14, wall 0.12, books 0.11, ",arts
Topic 36,"people 0.8, world 0.5, countries 0.44, percent 0.42, country 0.4, global 0.37, government 0.36, money 0.33, dollars 0.33, social 0.31, economic 0.29, change 0.26, economy 0.26, democracy 0.25, states 0.25, ",global economy
Topic 37,"sound 1.59, noise 0.52, voice 0.51, listening 0.48, sounds 0.36, hear 0.28, hearing 0.22, listen 0.2, voices 0.17, song 0.14, silence 0.11, waves 0.09, play 0.09, visual 0.08, time 0.07, ",sounds
Topic 38,"hiv 1.3, virus 0.56, drugs 0.38, aids 0.38, vaccine 0.31, disease 0.28, epidemic 0.26, drug 0.23, flu 0.23, treatment 0.22, countries 0.19, sex 0.16, diseases 0.14, malaria 0.14, risk 0.1, ",drugs
Topic 39,"body 1.74, skin 0.53, bodies 0.38, legs 0.38, space 0.26, human 0.24, death 0.16, blood 0.16, muscle 0.15, voice 0.13, arm 0.13, tissue 0.09, inside 0.09, evolution 0.09, technology 0.09, ",bodies